"PY" "paper"
"939" 2016 "hkb"
"940" 2000 "hkb"
"941" 2013 "hkb"
"942" 2014 "hkb"
"943" 1996 "hkb"
"944" 2015 "hkb"
"945" 2012 "hkb"
"946" 2011 "hkb"
"947" 2009 "hkb"
"948" 2014 "hkb"
"949" 1998 "hkb"
"950" 1998 "hkb"
"951" 2016 "hkb"
"952" 1994 "hkb"
"953" 2001 "hkb"
"954" 2003 "hkb"
"955" 2016 "hkb"
"956" 2009 "hkb"
"957" 2008 "hkb"
"958" 2011 "hkb"
"959" 2014 "hkb"
"960" 2007 "hkb"
"961" 2012 "hkb"
"962" 2008 "hkb"
"963" 2012 "hkb"
"964" 2012 "hkb"
"965" 2015 "hkb"
"966" 2014 "hkb"
"967" 2007 "hkb"
"968" 2014 "hkb"
"969" 2014 "hkb"
"970" 2004 "hkb"
"971" 2002 "hkb"
"972" 2003 "hkb"
"973" 2015 "hkb"
"974" 2013 "hkb"
"975" 2005 "hkb"
"976" 2001 "hkb"
"977" 1993 "hkb"
"978" 2000 "hkb"
"979" 2016 "hkb"
"980" 1999 "hkb"
"981" 2001 "hkb"
"982" 2013 "hkb"
"983" 1989 "hkb"
"984" 2005 "hkb"
"985" 2005 "hkb"
"986" 2011 "hkb"
"987" 1998 "hkb"
"988" 2008 "hkb"
"989" 2016 "hkb"
"990" 1998 "hkb"
"991" 2015 "hkb"
"992" 2016 "hkb"
"993" 2014 "hkb"
"994" 2009 "hkb"
"995" 1990 "hkb"
"996" 2015 "hkb"
"997" 2000 "hkb"
"998" 2014 "hkb"
"999" 2001 "hkb"
"1000" 2009 "hkb"
"1001" 1999 "hkb"
"1002" 2012 "hkb"
"1003" 2004 "hkb"
"1004" 2004 "hkb"
"1005" 2015 "hkb"
"1006" 1999 "hkb"
"1007" 1995 "hkb"
"1008" 2013 "hkb"
"1009" 2007 "hkb"
"1010" 2011 "hkb"
"1011" 2012 "hkb"
"1012" 1998 "hkb"
"1013" 2012 "hkb"
"1014" 2016 "hkb"
"1015" 2015 "hkb"
"1016" 2006 "hkb"
"1017" 2014 "hkb"
"1018" 2002 "hkb"
"1019" 2012 "hkb"
"1020" 1997 "hkb"
"1021" 2010 "hkb"
"1022" 2007 "hkb"
"1023" 2015 "hkb"
"1024" 2000 "hkb"
"1025" 1997 "hkb"
"1026" 1995 "hkb"
"1027" 2008 "hkb"
"1028" 2010 "hkb"
"1029" 2014 "hkb"
"1030" 2006 "hkb"
"1031" 2002 "hkb"
"1032" 2010 "hkb"
"1033" 2015 "hkb"
"1034" 2011 "hkb"
"1035" 2004 "hkb"
"1036" 2013 "hkb"
"1037" 2004 "hkb"
"1038" 2005 "hkb"
"1039" 1994 "hkb"
"1040" 1993 "hkb"
"1041" 2010 "hkb"
"1042" 2012 "hkb"
"1043" 1998 "hkb"
"1044" 2011 "hkb"
"1045" 2009 "hkb"
"1046" 2014 "hkb"
"1047" 2015 "hkb"
"1048" 2010 "hkb"
"1049" 2008 "hkb"
"1050" 2005 "hkb"
"1051" 1993 "hkb"
"1052" 2013 "hkb"
"1053" 2011 "hkb"
"1054" 2009 "hkb"
"1055" 2005 "hkb"
"1056" 1999 "hkb"
"1057" 1998 "hkb"
"1058" 2015 "hkb"
"1059" 2008 "hkb"
"1060" 2004 "hkb"
"1061" 1995 "hkb"
"1062" 2013 "hkb"
"1063" 2010 "hkb"
"1064" 1997 "hkb"
"1065" 1992 "hkb"
"1066" 2001 "hkb"
"1067" 2008 "hkb"
"1068" 2012 "hkb"
"1069" 1999 "hkb"
"1070" 2013 "hkb"
"1071" 2001 "hkb"
"1072" 2010 "hkb"
"1073" 2008 "hkb"
"1074" 2001 "hkb"
"1075" 2009 "hkb"
"1076" 2005 "hkb"
"1077" 2002 "hkb"
"1078" 1997 "hkb"
"1079" 2008 "hkb"
"1080" 1994 "hkb"
"1081" 2011 "hkb"
"1082" 1995 "hkb"
"1083" 2000 "hkb"
"1084" 1988 "hkb"
"1085" 2011 "hkb"
"1086" 2014 "hkb"
"1087" 1995 "hkb"
"1088" 2007 "hkb"
"1089" 1995 "hkb"
"1090" 2016 "hkb"
"1091" 1999 "hkb"
"1092" 2014 "hkb"
"1093" 1996 "hkb"
"1094" 2005 "hkb"
"1095" 1992 "hkb"
"1096" 2002 "hkb"
"1097" 2011 "hkb"
